	pid	ptlon	ptlat	tfl	insl	insw	x_rti	az	lort	llon1	llat1	stcr_l	rlon1	rlat1	stcr_r	llon2	llat2	rlon2	rlat2	vhalf	obsaz	predaz_morvel	predaz_tf	sigc	bias
TF_iV	12.0	49.3	13.1	31.7	24.7	5	12.4	27.5	1	49.254	12.996	1	49.386	13.249	1	49.03	13.03	49.56	13.21	9.6	62.5	63.01	64.21	6.61	0.20
TF_iii	12.0	49.6	13.3	28.7	20	5	10.9	28.5	1	49.557	13.214	1	49.680	13.440	1	49.39	13.25	50.21	13.30	9.6	61.5	63.65	64.34	8.10	0.28
Alula- Fartak 	12.0	51.7	13.8	172.1	170	15	86.1	26	1	51.363	13.103	1	52.058	14.494	1	50.69	13.35	52.46	14.37	10.3	64	66.02	64.69	2.91	0.16
Socotra 	12.0	53.83	14.47	35.2	21	2.5	15.4	21.5	1	53.776	14.341	1	53.908	14.635	1	53.43	14.45	54.12	14.55	10.9	68.5	68.36	65.06	3.92	0.19
Molloy 	13.0	4.5	78.87	126.6	32	3	62.8	125	1	2.020	79.180	1	6.820	78.520	1	3.55	79.69	8.23	73.77	7.0	-35	-37.68	-36.22	3.09	0.45
Splitsbergen 	13.0	1	80	134.4	120	12	73.7	124	1	-2.190	80.380	1	3.550	79.690	2	-2.18	81.1	2.02	79.18	6.9	-34	-35.87	-34.16	3.30	0.13
Jan_Mayen 	13.0	-9	71.3	203.2	100	8	111.4	114	2	-11.920	71.680	1	-6.660	70.970	1	-16.96	68.75	-5.19	71.52	8.3	-24	-23.61	-22.48	2.64	-0.22
Charlie_Gibbs1	13.0	-33.25	52.65	240.1	80	8	142	95.9	1	324.659	52.819	1	328.192	52.531	1	-34.39	56.8	328.0913086	52.16315031	10.6	-5.9	-6.31	-4.79	3.30	0.17
Charlie_Gibbs2	13.0	-30.85	52.1	128.3	60	8	72.6	95.5	1	328.091	52.163	1	329.959	52.042	1	328.19	52.53	-30	50.88	10.7	-5.5	-7.52	-6.13	4.38	0.15
Oceanographer 	14.0	-35.61	35.16	121.4	55	3	63.4	104.5	2	-36.290	35.290	1	325.006	35.037	1	-36.62	34.56	-34.8	35.64	12.9	-14.5	-13.16	-15.34	1.80	-0.13
Hayes 	14.0	-38.65	33.657	69.6	50	3	32.7	104.3	2	321.005	33.728	1	321.741	33.582	1	-42.03	29.99	-37.67	34.14	13.0	-14.5	-12.97	-13.58	1.98	-1.02
Atlantis 	14.0	-42.32	30.05	63.3	38	2.5	34.6	103	2	-42.670	30.120	1	-42.030	29.990	2	-46.37	23.86	-42	30.54	13.1	-13	-12.49	-11.47	2.17	-1.22
Kane 	14.0	-45.62	23.74	144.6	90	4	77.5	99	1	-46.370	23.856	1	-44.970	23.640	2	-42.67	30.12	313.39	15.37106858	13.1	-9	-11.8	-9.68	1.47	0.93
Fifteen-Twenty 	15.0	-45.8	15.3	169.3	75	5	87.2	95.5	1	313.394	15.371	1	314.965	15.208	1	-44.97	23.64	-44.87	12.69	11.8	-5.5	-4.52	-4.67	2.20	0.71
Marathon 	15.0	-44.5	12.65	84.8	70	3	39.1	93	1	-44.860	12.670	1	-44.080	12.620	1	-45.04	15.2	-44.09	12.18	12.3	-3	-3.49	-3.63	1.42	0.57
Vema 	15.0	-42.3	10.8	312.6	300	12	154.1	91.5	1	-43.710	10.850	1	-40.850	10.750	1	-43.76	12.1	-40.94	10.15	12.6	-1.5	-2.01	-2.13	1.32	0.13
Doldrums1	15.0	-40.02	8.83	110.1	85	8	53.7	91	1	319.491	8.837	1	320.493	8.824	1	-40.52	9.38	320.4008789	8.207140823	12.9	-1	-0.55	-0.65	3.10	0.14
Doldrums2	15.0	-38.81	8.2	174.1	150	8	86.9	91	1	320.401	8.207	1	321.983	8.181	1	320.4931641	8.824281469	-38.09	7.8	13.0	-1	0.2	0.1	1.76	0.09
Doldrums3 	15.0	-37.37	7.75	146.2	125	8	71.8	90	1	321.979	7.737	1	323.306	7.741	1	-38.09	8.19	-36.74	7.55	13.1	0	1.07	0.98	2.11	0.07
Doldrums4	15.0	-35.66	7.45	225.8	205	8	112.6	90	1	323.319	7.445	1	325.367	7.454	1	-36.76	7.76	-34.68	7.22	13.2	0	2.1	2.02	1.29	0.04
Bogdanov 	15.0	-34.25	7.16	75.3	45	6	39.9	87	1	325.389	7.140	1	326.070	7.175	1	-34.69	7.44	-33.785	6.25	13.2	3	2.94	2.87	4.38	0.20
Strakhov 	15.0	-32.09	3.93	109.9	84	4	54.9	86.5	1	327.417	3.895	1	328.406	3.954	1	-32.87	5.53	-31.25	2.64	13.8	3.5	4.07	4.01	1.57	0.37
St_Paul1	15.0	-27.123	0.861	145.4	40	2	92.2	82.5	1	332.302	0.831	1	333.605	0.945	1	-27.73	1.07	-26.38	0.7	14.3	7.5	6.8	6.77	1.65	0.04
St_Paul2	15.0	-25.8	0.7	91.4	50	8	57.6	80	1	333.683	0.664	1	-25.500	0.760	1	-26.49	1.01	-25.51	0.6	14.4	10	7.37	7.34	5.25	0.07
St_Paul3 	15.0	-25.2	0.6	41.7	20	5	29.2	81	1	-25.460	0.560	1	-25.090	0.620	1	-25.53	0.79	-25.12	0.48	14.4	9	7.68	7.66	8.10	0.11
Romanche1	15.0	-23.2	-1.01	898.6	260	12	148.9	83.1	1	335.466	-1.171	1	343.434	0.226	1	-24.99	0.48	-15.94	-1.53	14.6	6.9	8.61	8.6	1.53	0.10
Romanche2	15.0	-20.8	-0.67	898.6	260	8	418.4	80.4	1	335.466	-1.171	1	343.434	0.226	1	-24.99	0.48	-15.94	-1.53	14.6	9.6	9.88	9.88	1.02	0.04
Romanche3	15.0	-18.4	-0.2	898.6	260	12	690	77.6	1	335.466	-1.171	1	343.434	0.226	1	-24.99	0.48	-15.94	-1.53	14.6	12.4	11.13	11.15	1.53	0.07
Chain 	15.0	-14.45	-1.22	306.1	250	10	161.7	76	1	344.141	-1.580	1	346.814	-0.920	1	-16.65	0.21	-12.94	-2.03	14.9	14	12.96	12.97	1.32	0.15
Ascension1	15.0	-12.15	-6.88	201.9	180	5	99.7	77	2	346.966	-7.083	1	348.750	-6.665	1	-13.06	-7.3	-11.61	-4.93	15.5	13	13.5	13.54	0.92	-0.16
Ascension2	15.0	-13.26	-7.37	55.1	40	5	27.9	77	2	346.493	-7.428	1	346.977	-7.315	1	-13.45	-8.17	-13.09	-7.08	15.5	13	12.96	12.99	4.11	-0.22
BodaVerde 	15.0	-13.68	-11.64	167	140	8	85.7	79	2	-14.450	-11.800	1	347.054	-11.506	2	-14.39	-12.17	-13.75	-8.45	15.9	11	12.49	12.51	1.89	-0.18
